Config Name,Overall Accuracy,Accuracy on Accepted,Coverage,Rejection Rate,Risk,ECE,NLL Accepted,Brier Accepted,AUROC,AUPR,AURC,F1 Rejection,Failure Rejected Count,Unknown/Ambiguous Rejected Count,Potential OOD Rejected Count
Baseline 0 - Current Ensemble (Temperature Scaling),0.9333333333333333,0.9574468085106383,0.7833333333333333,0.21666666666666667,0.04255319148936165,0.0947443981965383,1.2977538235857662,0.378532506612532,0.8660714285714286,0.9894130290697367,0.012344170422934762,0.23529411764705882,2,9,2
Dynamic_Gating,0.9333333333333333,0.9803921568627451,0.85,0.15000000000000002,0.019607843137254943,0.09113024262820975,0.15426273895782638,0.41617063190793835,0.9151785714285714,0.9929176873445666,0.00895541038122134,0.46153846153846156,3,6,0
